entry,at,order
"Player stacks: #1 ""潘大帅 @ mCcr85adzw"" (390) | #2 ""Stu-phone @ HWSTvsaq5F"" (5898) | #3 ""Po4 ：（ @ oZrEs0aO5K"" (1808) | #5 ""UL @ EyF8Dy3tOI"" (4192) | #6 ""遗物无疑 @ KBIwhPQuUg"" (1442) | #7 ""HC3 @ 6fs2b5y3k4"" (2030) | #9 ""AnonyZZZ @ BU96Oldlbq"" (240)",2023-12-31T18:34:53.107Z,170404769310701
"-- starting hand #60 (id: kmfkfcq5kmfb)  (No Limit Texas Hold'em) (dealer: ""潘大帅 @ mCcr85adzw"") --",2023-12-31T18:34:53.107Z,170404769310700
"""AnonyZZZ @ BU96Oldlbq"" shows a 9♠, 6♣.",2023-12-31T18:34:52.187Z,170404769218700
"""HC3 @ 6fs2b5y3k4"" shows a A♦, J♠.",2023-12-31T18:34:51.760Z,170404769176000
"""潘大帅 @ mCcr85adzw"" shows a 2♣, Q♠.",2023-12-31T18:34:47.081Z,170404768708100
"""Po4 ：（ @ oZrEs0aO5K"" shows a 8♠, 2♥.",2023-12-31T18:34:46.664Z,170404768666400
"""UL @ EyF8Dy3tOI"" shows a A♥, 9♥.",2023-12-31T18:34:45.208Z,170404768520800
"""遗物无疑 @ KBIwhPQuUg"" shows a 3♦, A♣.",2023-12-31T18:34:44.850Z,170404768485000
"-- ending hand #59 --",2023-12-31T18:34:43.492Z,170404768349202
"""Stu-phone @ HWSTvsaq5F"" collected 400 from pot with Pair, 5's (combination: 5♣, 5♠, K♠, 10♣, 7♥)",2023-12-31T18:34:43.492Z,170404768349201
"""Stu-phone @ HWSTvsaq5F"" shows a K♠, 5♣.",2023-12-31T18:34:43.492Z,170404768349200
"""遗物无疑 @ KBIwhPQuUg"" calls 20",2023-12-31T18:34:42.685Z,170404768268500
"""UL @ EyF8Dy3tOI"" calls 20",2023-12-31T18:34:41.201Z,170404768120100
"""Stu-phone @ HWSTvsaq5F"" bets 20",2023-12-31T18:34:39.697Z,170404767969700
"River: 2♦, 3♥, 10♣, 5♠ [7♥]",2023-12-31T18:34:34.845Z,170404767484500
"""UL @ EyF8Dy3tOI"" calls 40",2023-12-31T18:34:33.989Z,170404767398900
"""Stu-phone @ HWSTvsaq5F"" calls 40",2023-12-31T18:34:32.391Z,170404767239100
"""HC3 @ 6fs2b5y3k4"" folds",2023-12-31T18:34:29.245Z,170404766924500
