entry,at,order
"Player stacks: #1 ""Po3 @ oZrEs0aO5K"" (1120) | #2 ""Stu-phone @ HWSTvsaq5F"" (940) | #3 ""AnonyXxx @ N55ndHxf14"" (1000) | #4 ""William Wu @ 2EZXiXlT-t"" (3126) | #5 ""UL @ EyF8Dy3tOI"" (540) | #6 ""遗物无疑 @ KBIwhPQuUg"" (7337) | #7 ""HC1 @ 6fs2b5y3k4"" (40) | #8 ""Mika小姐的🐱3 @ noyRc_Pbad"" (1534) | #9 ""AnonyZZZ @ BU96Oldlbq"" (3820) | #10 ""潘大帅 @ mCcr85adzw"" (2544)",2023-12-31T17:28:21.850Z,170404370185002
"-- starting hand #29 (id: 22rytbwfrwlx)  (No Limit Texas Hold'em) (dealer: ""William Wu @ 2EZXiXlT-t"") --",2023-12-31T17:28:21.850Z,170404370185001
"The player ""AnonyXxx @ N55ndHxf14"" joined the game with a stack of 1000.",2023-12-31T17:28:21.850Z,170404370185000
"""Po3 @ oZrEs0aO5K"" shows a 7♥, 4♣.",2023-12-31T17:28:17.594Z,170404369759400
"""遗物无疑 @ KBIwhPQuUg"" shows a 3♥, 10♦.",2023-12-31T17:28:17.583Z,170404369758300
"""UL @ EyF8Dy3tOI"" shows a 8♣, A♦.",2023-12-31T17:28:17.436Z,170404369743600
"""潘大帅 @ mCcr85adzw"" shows a J♣, 3♣.",2023-12-31T17:28:16.524Z,170404369652400
"-- ending hand #28 --",2023-12-31T17:28:13.815Z,170404369381502
"""HC1 @ 6fs2b5y3k4"" collected 40 from pot with Pair, 2's (combination: 2♦, 2♥, K♥, Q♦, J♦)",2023-12-31T17:28:13.815Z,170404369381501
"""AnonyZZZ @ BU96Oldlbq"" collected 3820 from pot with Pair, A's (combination: A♥, A♠, K♥, Q♦, 6♥)",2023-12-31T17:28:13.815Z,170404369381500
"River: 2♥, 6♥, 5♠, K♥ [Q♦]",2023-12-31T17:28:09.808Z,170404368980800
"""AnonyZZZ @ BU96Oldlbq"" shows a A♥, A♠.",2023-12-31T17:28:05.761Z,170404368576102
"""Mika小姐的🐱3 @ noyRc_Pbad"" shows a 4♠, 7♠.",2023-12-31T17:28:05.761Z,170404368576101
"""HC1 @ 6fs2b5y3k4"" shows a J♦, 2♦.",2023-12-31T17:28:05.761Z,170404368576100
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 420",2023-12-31T17:28:04.864Z,170404368486400
"""HC1 @ 6fs2b5y3k4"" raises to 420 and go all in",2023-12-31T17:28:02.310Z,170404368231000
"""Po3 @ oZrEs0aO5K"" folds",2023-12-31T17:27:57.143Z,170404367714300
"""AnonyZZZ @ BU96Oldlbq"" raises to 400 and go all in",2023-12-31T17:27:55.173Z,170404367517300
"""Mika小姐的🐱3 @ noyRc_Pbad"" bets 200",2023-12-31T17:27:49.367Z,170404366936700
"""HC1 @ 6fs2b5y3k4"" checks",2023-12-31T17:27:40.741Z,170404366074100
"Turn: 2♥, 6♥, 5♠ [K♥]",2023-12-31T17:27:33.301Z,170404365330100
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 520",2023-12-31T17:27:32.437Z,170404365243700
"""HC1 @ 6fs2b5y3k4"" calls 520",2023-12-31T17:27:31.356Z,170404365135600
"""遗物无疑 @ KBIwhPQuUg"" folds",2023-12-31T17:27:29.991Z,170404364999100
"""UL @ EyF8Dy3tOI"" folds",2023-12-31T17:27:26.995Z,170404364699500
"""William Wu @ 2EZXiXlT-t"" folds",2023-12-31T17:27:24.821Z,170404364482100
"""Stu-phone @ HWSTvsaq5F"" folds",2023-12-31T17:27:09.501Z,170404362950100
"""Po3 @ oZrEs0aO5K"" calls 520",2023-12-31T17:27:08.233Z,170404362823300
"""潘大帅 @ mCcr85adzw"" folds",2023-12-31T17:27:04.288Z,170404362428800
"""AnonyZZZ @ BU96Oldlbq"" raises to 520",2023-12-31T17:26:57.910Z,170404361791000
"""Mika小姐的🐱3 @ noyRc_Pbad"" raises to 120",2023-12-31T17:26:52.399Z,170404361239900
"""HC1 @ 6fs2b5y3k4"" bets 20",2023-12-31T17:26:43.806Z,170404360380600
"""遗物无疑 @ KBIwhPQuUg"" checks",2023-12-31T17:26:25.052Z,170404358505200
"""UL @ EyF8Dy3tOI"" checks",2023-12-31T17:26:19.860Z,170404357986000
"""William Wu @ 2EZXiXlT-t"" checks",2023-12-31T17:26:15.154Z,170404357515400
"Flop:  [2♥, 6♥, 5♠]",2023-12-31T17:26:10.180Z,170404357018000
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 60",2023-12-31T17:26:09.286Z,170404356928600
"""HC1 @ 6fs2b5y3k4"" calls 60",2023-12-31T17:26:08.240Z,170404356824000
"""遗物无疑 @ KBIwhPQuUg"" calls 60",2023-12-31T17:25:57.433Z,170404355743300
"""UL @ EyF8Dy3tOI"" calls 60",2023-12-31T17:25:54.997Z,170404355499700
"""William Wu @ 2EZXiXlT-t"" calls 60",2023-12-31T17:25:48.705Z,170404354870500
"""Stu-phone @ HWSTvsaq5F"" calls 60",2023-12-31T17:25:42.196Z,170404354219600
"""Po3 @ oZrEs0aO5K"" calls 60",2023-12-31T17:25:41.080Z,170404354108000
"""潘大帅 @ mCcr85adzw"" calls 60",2023-12-31T17:25:39.944Z,170404353994400
"""AnonyZZZ @ BU96Oldlbq"" raises to 60",2023-12-31T17:25:29.579Z,170404352957900
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 20",2023-12-31T17:25:25.736Z,170404352573600
"""HC1 @ 6fs2b5y3k4"" calls 20",2023-12-31T17:25:24.674Z,170404352467400
"""遗物无疑 @ KBIwhPQuUg"" calls 20",2023-12-31T17:25:18.783Z,170404351878300
"""UL @ EyF8Dy3tOI"" posts a big blind of 20",2023-12-31T17:25:13.254Z,170404351325415
"""William Wu @ 2EZXiXlT-t"" posts a small blind of 10",2023-12-31T17:25:13.254Z,170404351325414
"Your hand is A♥, A♠",2023-12-31T17:25:13.254Z,170404351325412
"Player stacks: #1 ""Po3 @ oZrEs0aO5K"" (1700) | #2 ""Stu-phone @ HWSTvsaq5F"" (1000) | #4 ""William Wu @ 2EZXiXlT-t"" (3186) | #5 ""UL @ EyF8Dy3tOI"" (600) | #6 ""遗物无疑 @ KBIwhPQuUg"" (7397) | #7 ""HC1 @ 6fs2b5y3k4"" (1000) | #8 ""Mika小姐的🐱3 @ noyRc_Pbad"" (2534) | #9 ""AnonyZZZ @ BU96Oldlbq"" (980) | #10 ""潘大帅 @ mCcr85adzw"" (2604)",2023-12-31T17:25:13.254Z,170404351325404
"-- starting hand #28 (id: qpzurplco9no)  (No Limit Texas Hold'em) (dead button) --",2023-12-31T17:25:13.254Z,170404351325403
"The player ""Stu-phone @ HWSTvsaq5F"" joined the game with a stack of 1000.",2023-12-31T17:25:13.254Z,170404351325402
"The player ""HC1 @ 6fs2b5y3k4"" joined the game with a stack of 1000.",2023-12-31T17:25:13.254Z,170404351325401
"The admin updated the player ""AnonyXxx @ N55ndHxf14"" stack from 2000 to 1000.",2023-12-31T17:25:13.254Z,170404351325400
"""AnonyZZZ @ BU96Oldlbq"" shows a J♥, 5♥.",2023-12-31T17:25:10.892Z,170404351089200
"""潘大帅 @ mCcr85adzw"" shows a K♣, 8♦.",2023-12-31T17:25:08.577Z,170404350857700
"""UL @ EyF8Dy3tOI"" shows a Q♣, 9♠.",2023-12-31T17:25:07.925Z,170404350792500
"The admin approved the player ""HC1 @ 6fs2b5y3k4"" participation with a stack of 1000.",2023-12-31T17:25:07.378Z,170404350737800
"""遗物无疑 @ KBIwhPQuUg"" shows a 7♦, 8♠.",2023-12-31T17:25:06.124Z,170404350612400
"-- ending hand #27 --",2023-12-31T17:25:05.246Z,170404350524601
"""Po3 @ oZrEs0aO5K"" collected 1700 from pot with Flush, Jd High (combination: J♦, 10♦, 9♦, 6♦, 4♦)",2023-12-31T17:25:05.246Z,170404350524600
"The player ""HC1 @ 6fs2b5y3k4"" requested a seat.",2023-12-31T17:25:02.927Z,170404350292700
"River: 6♦, 4♠, J♦, 4♥ [10♦]",2023-12-31T17:25:01.215Z,170404350121500
"""William Wu @ 2EZXiXlT-t"" shows a A♠, Q♥.",2023-12-31T17:24:57.148Z,170404349714802
"""Po3 @ oZrEs0aO5K"" shows a 9♦, 4♦.",2023-12-31T17:24:57.148Z,170404349714801
"Uncalled bet of 210 returned to ""William Wu @ 2EZXiXlT-t""",2023-12-31T17:24:57.148Z,170404349714800
"""Po3 @ oZrEs0aO5K"" calls 320 and go all in",2023-12-31T17:24:56.290Z,170404349629000
"""遗物无疑 @ KBIwhPQuUg"" folds",2023-12-31T17:24:55.208Z,170404349520800
"""William Wu @ 2EZXiXlT-t"" bets 530",2023-12-31T17:24:49.346Z,170404348934600
"Turn: 6♦, 4♠, J♦ [4♥]",2023-12-31T17:24:40.382Z,170404348038200
"""遗物无疑 @ KBIwhPQuUg"" calls 200",2023-12-31T17:24:39.526Z,170404347952600
"""William Wu @ 2EZXiXlT-t"" calls 200",2023-12-31T17:24:37.457Z,170404347745700
"""Po3 @ oZrEs0aO5K"" raises to 200",2023-12-31T17:24:31.930Z,170404347193000
"""Mika小姐的🐱3 @ noyRc_Pbad"" folds",2023-12-31T17:24:28.629Z,170404346862900
"""遗物无疑 @ KBIwhPQuUg"" calls 100",2023-12-31T17:24:27.567Z,170404346756700
"""William Wu @ 2EZXiXlT-t"" bets 100",2023-12-31T17:24:23.467Z,170404346346700
"Flop:  [6♦, 4♠, J♦]",2023-12-31T17:24:14.345Z,170404345434500
"""Po3 @ oZrEs0aO5K"" calls 100",2023-12-31T17:24:13.536Z,170404345353600
"""潘大帅 @ mCcr85adzw"" folds",2023-12-31T17:24:12.402Z,170404345240200
"""AnonyZZZ @ BU96Oldlbq"" folds",2023-12-31T17:24:08.746Z,170404344874600
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 100",2023-12-31T17:23:38.664Z,170404341866400
"WARNING: the admin queued the stack change for the player ""AnonyXxx @ N55ndHxf14"" reseting to 1000 chips in the next hand.",2023-12-31T17:23:33.534Z,170404341353400
"""遗物无疑 @ KBIwhPQuUg"" calls 100",2023-12-31T17:23:32.466Z,170404341246600
"""UL @ EyF8Dy3tOI"" folds",2023-12-31T17:23:29.704Z,170404340970400
"""William Wu @ 2EZXiXlT-t"" raises to 100",2023-12-31T17:23:22.516Z,170404340251600
"The admin approved the player ""AnonyXxx @ N55ndHxf14"" participation with a stack of 2000.",2023-12-31T17:23:18.779Z,170404339877900
"The admin approved the player ""Stu-phone @ HWSTvsaq5F"" participation with a stack of 1000.",2023-12-31T17:23:15.817Z,170404339581700
"""Po3 @ oZrEs0aO5K"" calls 20",2023-12-31T17:23:15.070Z,170404339507000
"The player ""AnonyXxx @ N55ndHxf14"" requested a seat.",2023-12-31T17:23:13.157Z,170404339315700
"""潘大帅 @ mCcr85adzw"" calls 20",2023-12-31T17:23:12.150Z,170404339215000
"The player ""Stu-phone @ HWSTvsaq5F"" requested a seat.",2023-12-31T17:23:12.077Z,170404339207700
"""AnonyZZZ @ BU96Oldlbq"" calls 20",2023-12-31T17:23:10.096Z,170404339009600
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 20",2023-12-31T17:23:05.848Z,170404338584800
"""遗物无疑 @ KBIwhPQuUg"" calls 20",2023-12-31T17:23:01.782Z,170404338178200
"""UL @ EyF8Dy3tOI"" calls 20",2023-12-31T17:22:58.325Z,170404337832500
"""William Wu @ 2EZXiXlT-t"" posts a big blind of 20",2023-12-31T17:22:52.812Z,170404337281215
"Dead Small Blind",2023-12-31T17:22:52.812Z,170404337281214
"Your hand is J♥, 5♥",2023-12-31T17:22:52.812Z,170404337281212
"Player stacks: #1 ""Po3 @ oZrEs0aO5K"" (620) | #4 ""William Wu @ 2EZXiXlT-t"" (3806) | #5 ""UL @ EyF8Dy3tOI"" (620) | #6 ""遗物无疑 @ KBIwhPQuUg"" (7697) | #8 ""Mika小姐的🐱3 @ noyRc_Pbad"" (2634) | #9 ""AnonyZZZ @ BU96Oldlbq"" (1000) | #10 ""潘大帅 @ mCcr85adzw"" (2624)",2023-12-31T17:22:52.812Z,170404337281206
"-- starting hand #27 (id: r2gfqqerc8wi)  (No Limit Texas Hold'em) (dead button) --",2023-12-31T17:22:52.812Z,170404337281205
"The player ""Stu-phone @ HWSTvsaq5F"" quits the game with a stack of 0.",2023-12-31T17:22:52.812Z,170404337281204
"The player ""Stu @ 6jT0I2QxmT"" quits the game with a stack of 0.",2023-12-31T17:22:52.812Z,170404337281203
"The player ""HC @ 7ZMNVSIQV4"" quits the game with a stack of 0.",2023-12-31T17:22:52.812Z,170404337281202
"The player ""Stu @ 6jT0I2QxmT"" stand up with the stack of 0.",2023-12-31T17:22:52.812Z,170404337281201
"The admin updated the player ""AnonyZZZ @ BU96Oldlbq"" stack from 0 to 1000.",2023-12-31T17:22:52.812Z,170404337281200
"""UL @ EyF8Dy3tOI"" shows a 10♥, 4♥.",2023-12-31T17:22:50.736Z,170404337073600
"-- ending hand #26 --",2023-12-31T17:22:46.298Z,170404336629809
"""AnonyZZZ @ BU96Oldlbq"" shows a Q♠, K♠.",2023-12-31T17:22:46.298Z,170404336629808
"""Stu @ 6jT0I2QxmT"" shows a Q♣, 5♦.",2023-12-31T17:22:46.298Z,170404336629807
"""遗物无疑 @ KBIwhPQuUg"" collected 2476 from pot with Full House, 9's over 8's (combination: 9♣, 9♠, 9♥, 8♠, 8♥)",2023-12-31T17:22:46.298Z,170404336629806
"""遗物无疑 @ KBIwhPQuUg"" collected 1624 from pot with Full House, 9's over 8's (combination: 9♣, 9♠, 9♥, 8♠, 8♥)",2023-12-31T17:22:46.298Z,170404336629805
"""遗物无疑 @ KBIwhPQuUg"" collected 3522 from pot with Full House, 9's over 8's (combination: 9♣, 9♠, 9♥, 8♠, 8♥)",2023-12-31T17:22:46.298Z,170404336629804
"""HC @ 7ZMNVSIQV4"" shows a 6♦, J♦.",2023-12-31T17:22:46.298Z,170404336629803
"""Stu-phone @ HWSTvsaq5F"" shows a Q♥, 7♥.",2023-12-31T17:22:46.298Z,170404336629802
"""遗物无疑 @ KBIwhPQuUg"" collected 9 from pot with Full House, 9's over 8's (combination: 9♣, 9♠, 9♥, 8♠, 8♥)",2023-12-31T17:22:46.298Z,170404336629801
"""遗物无疑 @ KBIwhPQuUg"" shows a 9♣, 8♠.",2023-12-31T17:22:46.298Z,170404336629800
"""遗物无疑 @ KBIwhPQuUg"" calls 1446",2023-12-31T17:22:45.424Z,170404336542400
"""HC @ 7ZMNVSIQV4"" calls 208 and go all in",2023-12-31T17:22:22.835Z,170404334283500
"""潘大帅 @ mCcr85adzw"" folds",2023-12-31T17:22:20.662Z,170404334066200
"""Stu-phone @ HWSTvsaq5F"" raises to 1446 and go all in",2023-12-31T17:22:14.832Z,170404333483200
"WARNING: the admin queued the stack change for the player ""AnonyZZZ @ BU96Oldlbq"" adding 1000 chips in the next hand.",2023-12-31T17:22:14.177Z,170404333417700
"""遗物无疑 @ KBIwhPQuUg"" raises to 100",2023-12-31T17:22:04.549Z,170404332454900
"""HC @ 7ZMNVSIQV4"" bets 20",2023-12-31T17:21:55.633Z,170404331563300
"River: 9♠, J♠, 8♥, 9♥ [7♦]",2023-12-31T17:21:48.304Z,170404330830400
"""潘大帅 @ mCcr85adzw"" calls 616",2023-12-31T17:21:47.425Z,170404330742500
"""Stu-phone @ HWSTvsaq5F"" calls 616",2023-12-31T17:21:45.424Z,170404330542400
"""遗物无疑 @ KBIwhPQuUg"" calls 616",2023-12-31T17:21:42.046Z,170404330204600
"""HC @ 7ZMNVSIQV4"" raises to 616",2023-12-31T17:21:39.810Z,170404329981000
"""潘大帅 @ mCcr85adzw"" calls 366",2023-12-31T17:21:28.495Z,170404328849500
"""AnonyZZZ @ BU96Oldlbq"" raises to 366 and go all in",2023-12-31T17:21:26.429Z,170404328642900
"""Stu-phone @ HWSTvsaq5F"" raises to 353",2023-12-31T17:21:15.187Z,170404327518700
"""遗物无疑 @ KBIwhPQuUg"" raises to 100",2023-12-31T17:21:06.764Z,170404326676400
"The admin ""AnonyZZZ @ BU96Oldlbq"" enqueued the removal of the player ""Stu @ 6jT0I2QxmT"".",2023-12-31T17:21:04.362Z,170404326436200
"""HC @ 7ZMNVSIQV4"" bets 20",2023-12-31T17:21:03.021Z,170404326302100
"Turn: 9♠, J♠, 8♥ [9♥]",2023-12-31T17:20:56.553Z,170404325655300
"""UL @ EyF8Dy3tOI"" folds",2023-12-31T17:20:55.659Z,170404325565900
"""HC @ 7ZMNVSIQV4"" calls 220",2023-12-31T17:20:54.348Z,170404325434800
"""潘大帅 @ mCcr85adzw"" calls 220",2023-12-31T17:20:52.115Z,170404325211500
"""AnonyZZZ @ BU96Oldlbq"" calls 220",2023-12-31T17:20:50.139Z,170404325013900
"""Stu-phone @ HWSTvsaq5F"" calls 220",2023-12-31T17:20:48.148Z,170404324814800
"""遗物无疑 @ KBIwhPQuUg"" raises to 220",2023-12-31T17:20:40.317Z,170404324031700
"""UL @ EyF8Dy3tOI"" calls 120",2023-12-31T17:20:37.299Z,170404323729900
"""HC @ 7ZMNVSIQV4"" calls 120",2023-12-31T17:20:35.021Z,170404323502100
"""Po3 @ oZrEs0aO5K"" folds",2023-12-31T17:20:29.943Z,170404322994300
"""潘大帅 @ mCcr85adzw"" calls 120",2023-12-31T17:20:28.875Z,170404322887500
"""AnonyZZZ @ BU96Oldlbq"" raises to 120",2023-12-31T17:20:27.444Z,170404322744400
"""Mika小姐的🐱3 @ noyRc_Pbad"" folds",2023-12-31T17:20:17.052Z,170404321705200
"""Stu-phone @ HWSTvsaq5F"" calls 20",2023-12-31T17:20:15.981Z,170404321598100
"""遗物无疑 @ KBIwhPQuUg"" calls 20",2023-12-31T17:20:13.331Z,170404321333100
"""UL @ EyF8Dy3tOI"" calls 20",2023-12-31T17:20:11.520Z,170404321152000
"""HC @ 7ZMNVSIQV4"" bets 20",2023-12-31T17:20:09.799Z,170404320979900
"Flop:  [9♠, J♠, 8♥]",2023-12-31T17:19:58.588Z,170404319858800
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 60",2023-12-31T17:19:57.749Z,170404319774900
"""Stu-phone @ HWSTvsaq5F"" calls 60",2023-12-31T17:19:55.189Z,170404319518900
"""遗物无疑 @ KBIwhPQuUg"" calls 60",2023-12-31T17:19:53.976Z,170404319397600
"""UL @ EyF8Dy3tOI"" calls 60",2023-12-31T17:19:51.312Z,170404319131200
"""HC @ 7ZMNVSIQV4"" calls 60",2023-12-31T17:19:47.778Z,170404318777800
"""Po3 @ oZrEs0aO5K"" calls 60",2023-12-31T17:19:43.125Z,170404318312500
"""潘大帅 @ mCcr85adzw"" calls 60",2023-12-31T17:19:41.445Z,170404318144500
"""AnonyZZZ @ BU96Oldlbq"" raises to 60",2023-12-31T17:19:39.862Z,170404317986200
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 20",2023-12-31T17:19:36.332Z,170404317633200
"""Stu-phone @ HWSTvsaq5F"" calls 20",2023-12-31T17:19:35.238Z,170404317523800
"""遗物无疑 @ KBIwhPQuUg"" calls 20",2023-12-31T17:19:34.065Z,170404317406500
"""UL @ EyF8Dy3tOI"" calls 20",2023-12-31T17:19:30.077Z,170404317007700
"""William Wu @ 2EZXiXlT-t"" folds",2023-12-31T17:19:26.221Z,170404316622100
"""HC @ 7ZMNVSIQV4"" posts a big blind of 20",2023-12-31T17:19:14.878Z,170404315487816
"""Stu @ 6jT0I2QxmT"" posts a small blind of 1 and go all in ",2023-12-31T17:19:14.878Z,170404315487815
"Your hand is Q♠, K♠",2023-12-31T17:19:14.878Z,170404315487813
"Player stacks: #1 ""Po3 @ oZrEs0aO5K"" (680) | #2 ""Stu @ 6jT0I2QxmT"" (1) | #3 ""HC @ 7ZMNVSIQV4"" (1104) | #4 ""William Wu @ 2EZXiXlT-t"" (3806) | #5 ""UL @ EyF8Dy3tOI"" (800) | #6 ""遗物无疑 @ KBIwhPQuUg"" (2408) | #7 ""Stu-phone @ HWSTvsaq5F"" (2342) | #8 ""Mika小姐的🐱3 @ noyRc_Pbad"" (2694) | #9 ""AnonyZZZ @ BU96Oldlbq"" (646) | #10 ""潘大帅 @ mCcr85adzw"" (3520)",2023-12-31T17:19:14.878Z,170404315487804
"-- starting hand #26 (id: eyk0ilkod85j)  (No Limit Texas Hold'em) (dealer: ""Po3 @ oZrEs0aO5K"") --",2023-12-31T17:19:14.878Z,170404315487803
"The player ""Stu-phone @ HWSTvsaq5F"" joined the game with a stack of 2342.",2023-12-31T17:19:14.878Z,170404315487802
"The admin updated the player ""Stu @ 6jT0I2QxmT"" stack from 2342 to 1.",2023-12-31T17:19:14.878Z,170404315487801
"The admin updated the player ""Stu-phone @ HWSTvsaq5F"" stack from 1000 to 2342.",2023-12-31T17:19:14.878Z,170404315487800
"""AnonyZZZ @ BU96Oldlbq"" shows a 2♠, 8♥.",2023-12-31T17:19:13.036Z,170404315303600
"""UL @ EyF8Dy3tOI"" shows a Q♣, 6♥.",2023-12-31T17:19:10.213Z,170404315021300
"""Mika小姐的🐱3 @ noyRc_Pbad"" shows a 10♠, Q♦.",2023-12-31T17:19:09.353Z,170404314935300
"-- ending hand #25 --",2023-12-31T17:19:07.266Z,170404314726602
"""潘大帅 @ mCcr85adzw"" collected 880 from pot with Pair, Q's (combination: Q♠, Q♥, A♠, K♠, J♥)",2023-12-31T17:19:07.266Z,170404314726601
"""潘大帅 @ mCcr85adzw"" shows a Q♠, A♠.",2023-12-31T17:19:07.266Z,170404314726600
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 100",2023-12-31T17:19:06.449Z,170404314644900
"""UL @ EyF8Dy3tOI"" calls 100",2023-12-31T17:18:56.073Z,170404313607300
"""HC @ 7ZMNVSIQV4"" folds",2023-12-31T17:18:53.807Z,170404313380700
"""Po3 @ oZrEs0aO5K"" folds",2023-12-31T17:18:49.899Z,170404312989900
"""潘大帅 @ mCcr85adzw"" raises to 100",2023-12-31T17:18:45.466Z,170404312546600
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 20",2023-12-31T17:18:37.769Z,170404311776900
"""UL @ EyF8Dy3tOI"" calls 20",2023-12-31T17:18:24.081Z,170404310408100
"""HC @ 7ZMNVSIQV4"" bets 20",2023-12-31T17:18:18.035Z,170404309803500
"""Po3 @ oZrEs0aO5K"" checks",2023-12-31T17:18:15.775Z,170404309577500
"WARNING: the admin queued the stack change for the player ""Stu @ 6jT0I2QxmT"" reseting to 1 chips in the next hand.",2023-12-31T17:18:13.827Z,170404309382700
"River: Q♥, 2♣, 7♦, K♠ [J♥]",2023-12-31T17:18:10.225Z,170404309022500
"""潘大帅 @ mCcr85adzw"" checks",2023-12-31T17:18:09.375Z,170404308937500
"""Mika小姐的🐱3 @ noyRc_Pbad"" checks",2023-12-31T17:18:05.607Z,170404308560700
"WARNING: the admin queued the stack change for the player ""Stu-phone @ HWSTvsaq5F"" reseting to 2342 chips in the next hand.",2023-12-31T17:17:54.756Z,170404307475600
"""UL @ EyF8Dy3tOI"" checks",2023-12-31T17:17:49.481Z,170404306948100
"""HC @ 7ZMNVSIQV4"" checks",2023-12-31T17:17:44.795Z,170404306479500
"""Po3 @ oZrEs0aO5K"" checks",2023-12-31T17:17:39.259Z,170404305925900
"Turn: Q♥, 2♣, 7♦ [K♠]",2023-12-31T17:17:31.350Z,170404305135000
"""遗物无疑 @ KBIwhPQuUg"" folds",2023-12-31T17:17:30.524Z,170404305052400
"""UL @ EyF8Dy3tOI"" calls 80",2023-12-31T17:17:26.511Z,170404304651100
"""HC @ 7ZMNVSIQV4"" calls 80",2023-12-31T17:17:23.962Z,170404304396200
"""Stu @ 6jT0I2QxmT"" folds",2023-12-31T17:17:20.765Z,170404304076500
"""Po3 @ oZrEs0aO5K"" calls 80",2023-12-31T17:16:56.883Z,170404301688300
"The admin approved the player ""Stu-phone @ HWSTvsaq5F"" participation with a stack of 1000.",2023-12-31T17:16:53.456Z,170404301345600
"""潘大帅 @ mCcr85adzw"" calls 80",2023-12-31T17:16:53.033Z,170404301303300
"The player ""Stu-phone @ HWSTvsaq5F"" requested a seat.",2023-12-31T17:16:41.364Z,170404300136400
"""Mika小姐的🐱3 @ noyRc_Pbad"" raises to 80",2023-12-31T17:16:35.569Z,170404299556900
"""遗物无疑 @ KBIwhPQuUg"" calls 20",2023-12-31T17:16:31.076Z,170404299107600
"""UL @ EyF8Dy3tOI"" bets 20",2023-12-31T17:16:19.572Z,170404297957200
"""HC @ 7ZMNVSIQV4"" checks",2023-12-31T17:16:17.603Z,170404297760300
"""Stu @ 6jT0I2QxmT"" checks",2023-12-31T17:16:15.018Z,170404297501800
"""Po3 @ oZrEs0aO5K"" checks",2023-12-31T17:16:13.115Z,170404297311500
"Flop:  [Q♥, 2♣, 7♦]",2023-12-31T17:16:07.024Z,170404296702400
"""Stu @ 6jT0I2QxmT"" checks",2023-12-31T17:16:06.205Z,170404296620500
"""Po3 @ oZrEs0aO5K"" calls 20",2023-12-31T17:16:03.120Z,170404296312000
"""潘大帅 @ mCcr85adzw"" calls 20",2023-12-31T17:16:01.994Z,170404296199400
"""AnonyZZZ @ BU96Oldlbq"" folds",2023-12-31T17:16:00.040Z,170404296004000
"""Mika小姐的🐱3 @ noyRc_Pbad"" calls 20",2023-12-31T17:15:58.923Z,170404295892300
"""遗物无疑 @ KBIwhPQuUg"" calls 20",2023-12-31T17:15:57.849Z,170404295784900
"""UL @ EyF8Dy3tOI"" calls 20",2023-12-31T17:15:56.464Z,170404295646400
"""William Wu @ 2EZXiXlT-t"" folds",2023-12-31T17:15:53.191Z,170404295319100
"""HC @ 7ZMNVSIQV4"" calls 20",2023-12-31T17:15:37.085Z,170404293708500
"""Stu @ 6jT0I2QxmT"" posts a big blind of 20",2023-12-31T17:15:33.155Z,170404293315513
"""Po3 @ oZrEs0aO5K"" posts a small blind of 10",2023-12-31T17:15:33.155Z,170404293315512
"Your hand is 2♠, 8♥",2023-12-31T17:15:33.155Z,170404293315510
"Player stacks: #1 ""Po3 @ oZrEs0aO5K"" (780) | #2 ""Stu @ 6jT0I2QxmT"" (2362) | #3 ""HC @ 7ZMNVSIQV4"" (1224) | #4 ""William Wu @ 2EZXiXlT-t"" (3806) | #5 ""UL @ EyF8Dy3tOI"" (1000) | #6 ""遗物无疑 @ KBIwhPQuUg"" (2448) | #8 ""Mika小姐的🐱3 @ noyRc_Pbad"" (2894) | #9 ""AnonyZZZ @ BU96Oldlbq"" (646) | #10 ""潘大帅 @ mCcr85adzw"" (2840)",2023-12-31T17:15:33.155Z,170404293315502
"-- starting hand #25 (id: l65iixqd9fuo)  (No Limit Texas Hold'em) (dealer: ""潘大帅 @ mCcr85adzw"") --",2023-12-31T17:15:33.155Z,170404293315501
"The player ""UL @ EyF8Dy3tOI"" joined the game with a stack of 1000.",2023-12-31T17:15:33.155Z,170404293315500
"""Stu @ 6jT0I2QxmT"" shows a J♥, 7♣.",2023-12-31T17:15:29.371Z,170404292937100
"""AnonyZZZ @ BU96Oldlbq"" shows a 4♠, 4♣.",2023-12-31T17:15:27.553Z,170404292755300
"-- ending hand #24 --",2023-12-31T17:15:26.118Z,170404292611802
"""Mika小姐的🐱3 @ noyRc_Pbad"" collected 990 from pot with Pair, 5's (combination: 5♦, 5♠, A♠, 9♦, 6♣)",2023-12-31T17:15:26.118Z,170404292611801
"""Mika小姐的🐱3 @ noyRc_Pbad"" shows a 2♥, 5♦.",2023-12-31T17:15:26.118Z,170404292611800
"""AnonyZZZ @ BU96Oldlbq"" checks",2023-12-31T17:15:25.283Z,170404292528300
"""Mika小姐的🐱3 @ noyRc_Pbad"" checks",2023-12-31T17:15:23.554Z,170404292355400
